Pregunta;Respuesta;Tema
"Ictericia neonatal: ¿cuándo es PATOLÓGICA por el tiempo de aparición?";"Si aparece en las primeras 24 horas de vida (sugiere hemólisis: ABO, Rh).";PED-Neonatología
"Ictericia neonatal fisiológica: ¿cuándo aparece y características?";"Después de 24-48h, pico al 3.º-5.º día, indirecta, buen estado, Coombs negativo. Solo observar.";PED-Neonatología
"Incompatibilidad ABO: ¿qué combinación madre/hijo?";"Madre O con hijo A o B; Coombs directo positivo (débil), microesferocitos y reticulocitosis.";PED-Neonatología
"Coluria en neonato: ¿qué tipo de bilirrubina y qué sospechar?";"Bilirrubina DIRECTA (conjugada); sospechar atresia de vías biliares.";PED-Neonatología
"APGAR: ¿qué 5 parámetros evalúa?";"FC, respiración, tono muscular, irritabilidad refleja y color (0-2 cada uno, al 1.º y 5.º minuto).";PED-Neonatología
"Reanimación neonatal: ¿qué hacer si FC<100 o apnea?";"Ventilación a presión positiva (VPP). Es lo PRIMERO, antes del masaje.";PED-Neonatología
"Reanimación neonatal: ¿cuándo iniciar masaje cardiaco?";"Si FC<60 tras 30 segundos de VPP efectiva. Relación 3:1; luego adrenalina si persiste.";PED-Neonatología
"Sepsis neonatal precoz: ¿agentes y factores de riesgo?";"S. agalactiae (grupo B) y E. coli; RPM>18h, fiebre materna, corioamnionitis.";PED-Neonatología
"Taquipnea transitoria del RN: ¿contexto y radiografía?";"Cesárea sin trabajo de parto; Rx con líquido en cisuras (pulmón húmedo); resuelve en 24-72h con oxígeno.";PED-Neonatología
"Enfermedad de membrana hialina: ¿causa y radiografía?";"Déficit de surfactante en prematuro; Rx en vidrio esmerilado con broncograma aéreo.";PED-Neonatología
"Atresia esofágica: ¿cómo se sospecha y confirma?";"Polihidramnios + sialorrea + no avanza la sonda; Rx con sonda radiopaca enrollada en bolsón proximal.";PED-Neonatología
"Enterocolitis necrotizante: ¿hallazgo radiológico patognomónico?";"Neumatosis intestinal (gas en la pared). El neumoperitoneo obliga a cirugía.";PED-Neonatología
"Hipoglicemia neonatal en hijo de madre diabética: ¿causa?";"Hiperinsulinismo transitorio fetal; tratar con dextrosa y alimentación precoz.";PED-Neonatología
"Síndrome de rubéola congénita: ¿tríada clásica?";"Catarata + sordera neurosensorial + cardiopatía (ductus arterioso persistente).";PED-Infecto
"Escarlatina: ¿agente y signos?";"Streptococcus pyogenes (toxina); exantema en lija, lengua aframbuesada, facies de Filatov; tratar con penicilina.";PED-Infecto
"Exantema súbito (roséola): ¿agente y patrón?";"HHV-6; fiebre alta 3-5 días que cede bruscamente y luego exantema en tronco, buen estado.";PED-Infecto
"Tos ferina: ¿agente y clínica?";"Bordetella pertussis; tos paroxística en quintas + gallo + vómito postusivo + linfocitosis; tratar con macrólidos.";PED-Infecto
"Bronquiolitis: ¿agente más frecuente y manejo?";"VSR; lactante <2 años, 1.er episodio de sibilancias; manejo de soporte (oxígeno), no broncodilatadores de rutina.";PED-Respiratorio
"Crup (laringotraqueítis): ¿clínica y signo radiológico?";"Tos perruna, disfonía, estridor; signo del campanario; corticoides + adrenalina nebulizada si grave.";PED-Respiratorio
"Enfermedad de Kawasaki: ¿complicación más temida y prevención?";"Aneurismas coronarios; prevenir con inmunoglobulina IV + aspirina precoces.";PED-Infecto
"Convulsión febril simple: ¿criterios?";"6 meses-5 años, generalizada, <15 min, no recurre en 24h, sin focalidad. Buen pronóstico.";PED-Neuro
"Estenosis hipertrófica de píloro: ¿trastorno metabólico?";"Alcalosis metabólica hipoclorémica e hipokalémica (vómito de HCl); oliva palpable; ecografía confirma.";PED-Quirúrgica
"PTI pediátrica: ¿cuadro típico?";"Petequias post-virales + plaquetopenia aislada, resto del hemograma y examen normales.";PED-Hemato
"Púrpura de Henoch-Schönlein: ¿tétrada?";"Púrpura palpable + artralgia + dolor abdominal + hematuria (vasculitis por IgA).";PED-Hemato
"Trauma/ATLS: ¿cuál es la primera prioridad?";"A: vía aérea con control de la columna cervical (antes que vías, fluidos o radiografías).";CIR-Trauma
"Neumotórax a tensión: ¿diagnóstico y conducta?";"Diagnóstico CLÍNICO (no esperar Rx); descompresión con aguja en 2.º EIC línea medioclavicular + tubo de tórax.";CIR-Trauma
